order_number,orderDate,Item Name,Quantity,ProductPrice,Totalproducts
64648,2017-05-02 18:04:03,Red Lobster,2,74.56,4
64092,2017-11-16 21:34:58,KFC,5,59.29,17
84334,2021-06-08 06:27:08,Baskin robbins,5,22.99,15
16744,2019-07-25 01:00:15,M&M Food Market,6,54.86,1
12174,2021-11-09 17:45:56,Bel Group,7,66.60,20
15532,2020-11-27 00:27:50,Soprole,9,36.93,27
64968,2021-07-08 16:03:56,Kinder,3,94.32,12
38163,2021-10-28 16:17:28,Knorr,2,52.49,26
42332,2021-04-08 13:17:21,Cobblestone,6,61.15,16
67436,2017-03-13 13:55:21,Olymel,3,72.81,26
2406,2020-07-10 07:12:19,Dr. Oetker,2,71.99,1
58459,2018-06-18 19:02:30,Bewley's,3,45.69,18
44230,2019-09-20 18:46:42,Olymel,4,77.92,9
60291,2018-07-07 16:34:51,Dunkin' Donuts,6,39.96,6
22069,2021-04-01 14:09:56,Bel Group,4,57.42,17
84944,2020-10-21 00:11:28,Pizza Hut,9,55.49,5
78416,2018-01-11 17:41:23,Dr. Oetker,7,28.15,25
20703,2021-08-14 10:29:24,Taco Bell,1,63.82,14
82468,2020-10-27 07:19:26,Heinz,4,51.08,14
67798,2016-01-17 20:48:24,Tic Tac,2,91.75,23
54184,2016-06-14 09:33:23,Starbucks,4,53.76,27
37512,2018-01-21 16:01:19,Vitta Foods,9,45.24,18
75445,2017-03-24 04:39:10,Olymel,1,65.07,16
44326,2016-08-13 20:01:54,Bewley's,4,78.92,16
44634,2021-03-09 16:08:07,Cobblestone,3,86.48,13
87276,2019-12-09 15:08:03,Cobblestone,9,74.37,6
83422,2020-02-10 10:13:29,Bel Group,5,70.09,17
56141,2017-04-22 11:41:10,Tic Tac,5,4.53,25
90633,2017-03-23 03:36:39,Betty Crocker,5,74.96,17
85388,2019-12-12 09:42:42,Bewley's,4,51.64,25
85527,2019-06-18 17:53:52,Dunkin' Donuts,2,95.95,5
85953,2021-02-08 04:30:18,Sun-Pat,5,82.54,21
81952,2020-05-11 16:29:43,Starbucks,8,81.98,13
45201,2021-09-10 08:39:00,Cobblestone,5,27.72,1
62943,2018-11-30 17:46:43,Applebee's,5,87.39,3
22190,2019-08-02 21:54:02,Nesquik,8,28.16,1
82562,2018-01-01 22:31:43,Starbucks,5,54.51,28
18778,2017-08-02 02:31:06,Cobblestone,9,94.74,21
43440,2021-08-30 09:52:12,Knorr,1,46.62,25
47101,2017-01-20 02:42:11,Subway,5,25.05,24
50984,2021-06-28 08:24:53,KFC,5,43.81,21
15992,2021-05-27 11:25:33,Tic Tac,9,9.31,25
89032,2016-02-23 20:37:30,Wendy's,2,37.32,23
80128,2020-04-19 20:53:14,McDonald's,6,98.97,8
33159,2019-06-03 14:53:43,Taco Bell,6,67.14,10
35822,2018-09-08 21:09:56,Cheetos,1,72.88,26
77476,2016-11-23 02:58:54,Burger King,1,62.18,3
26533,2021-08-09 02:02:33,Secret Recipe,4,99.89,28
34542,2018-12-22 04:58:27,Lavazza,8,71.93,22
48147,2021-04-11 02:04:29,Olymel,5,64.98,9
52390,2016-04-14 11:04:04,Wonder Bread,4,87.59,19
10666,2016-03-02 18:54:33,Subway,9,12.52,17
62075,2017-11-23 15:25:35,Lavazza,8,3.54,12
83313,2020-05-17 00:34:26,Subway,1,15.91,2
97944,2021-07-14 02:17:39,Domino,1,18.49,7
24205,2018-03-19 02:24:41,Red Lobster,4,7.47,20
55516,2018-01-24 07:12:48,Lavazza,1,25.46,8
25947,2020-09-25 04:27:35,Andy Capp's fries,2,38.76,5
30058,2020-01-11 11:19:09,Domino,6,60.88,8
91337,2021-09-02 15:12:30,Sun-Pat,6,90.47,9
43339,2020-12-11 16:12:57,Burger King,2,64.81,1
98779,2016-01-07 06:19:24,Tic Tac,8,99.04,11
72779,2018-07-05 07:12:21,Secret Recipe,2,97.95,28
7568,2017-11-01 20:27:42,Domino,9,31.34,21
27680,2021-11-26 17:51:15,Nutella,6,35.78,18
79977,2019-08-25 19:07:34,Wendy's,5,49.84,20
30212,2017-03-29 15:50:55,Andy Capp's fries,1,83.59,27
89040,2019-02-25 14:19:05,Soprole,6,48.94,13
63144,2020-09-24 04:18:09,Domino,5,78.87,21
96799,2018-12-08 10:39:25,Kits,3,93.92,17
80504,2020-12-04 16:49:44,Bel Group,9,53.02,24
36585,2016-02-08 12:22:03,McDonald's,1,36.67,14
22498,2017-12-10 21:51:58,Wonder Bread,1,98.89,1
40591,2020-03-19 12:21:38,Heinz,1,36.56,26
48858,2021-07-14 17:01:21,KFC,9,8.60,27
4598,2021-10-12 05:25:21,Cheetos,8,86.83,11
19124,2021-10-16 14:58:26,Dunkin' Donuts,5,18.72,8
43883,2019-12-16 17:45:00,Subway,6,92.51,2
43339,2016-02-11 08:56:58,Burger King,5,13.98,6
91139,2017-03-14 11:12:42,McDonald's,3,75.57,21
48157,2020-09-19 07:20:29,Pizza Hut,2,48.40,3
89600,2021-09-16 07:47:54,Dr. Oetker,6,66.99,1
19264,2018-02-13 04:32:20,Nabisco,2,57.05,15
97464,2020-11-25 07:47:33,Sun-Pat,7,4.45,18
23268,2021-11-04 16:53:16,KFC,8,72.27,16
90260,2019-10-10 17:32:31,Nesquik,6,78.99,8
21942,2019-09-19 09:53:06,Kits,6,54.22,9
48105,2019-05-24 04:22:47,Red Lobster,6,28.25,12
37370,2018-08-08 06:29:35,Cobblestone,1,79.26,13
1601,2021-05-11 00:11:24,M&M Food Market,6,80.78,7
32591,2017-12-06 11:57:04,Cobblestone,4,38.74,10
46474,2018-02-02 11:35:53,Betty Crocker,4,92.28,22
98393,2020-12-10 06:46:17,LEonidas,5,4.95,6
62978,2021-02-04 11:02:05,Kinder,9,32.41,8
90873,2020-03-21 01:55:58,Dunkin' Donuts,4,44.27,19
26457,2019-11-08 11:00:14,Cheetos,1,70.67,15
78581,2018-05-24 09:31:41,M&M Food Market,8,48.50,25
81547,2016-02-28 11:00:51,Subway,8,33.79,18
19126,2016-08-21 17:18:56,Vitta Foods,4,48.79,17
97666,2017-07-15 14:53:29,McDonald's,3,51.22,11
78358,2021-05-13 21:24:48,Nabisco,2,49.13,28
69537,2020-05-23 20:02:19,Andy Capp's fries,6,10.58,21
24511,2018-05-10 15:53:52,Taco Bell,4,60.51,11
96405,2017-09-02 02:23:50,Subway,2,33.48,21
82564,2021-02-24 07:49:53,Nabisco,4,59.57,24
84083,2017-04-15 21:29:09,Pizza Hut,3,4.52,8
83397,2019-04-17 22:45:00,Wonder Bread,6,50.17,2
50117,2018-01-07 13:51:53,Pizza Hut,1,84.98,19
20252,2020-10-10 00:40:31,Bewley's,4,59.24,14
5435,2016-12-03 18:12:52,Bel Group,9,57.82,15
58384,2021-02-07 09:31:19,McDonald's,6,7.58,23
32580,2018-04-25 00:51:04,Kinder,5,29.23,8
5845,2016-05-20 05:41:00,Cobblestone,5,40.97,18
47350,2018-12-12 00:29:04,Cobblestone,4,50.36,1
13827,2017-10-16 22:27:09,Dunkin' Donuts,2,91.12,25
72882,2019-08-27 07:33:26,Papadopoulos,6,71.51,28
94763,2017-05-02 01:55:18,Magnum,4,54.79,22
63305,2016-04-20 20:12:07,Bewley's,1,78.53,10
22061,2019-10-10 06:06:54,Knorr,2,44.03,16
71548,2020-01-15 22:22:04,Nutella,2,6.14,10
27697,2019-07-02 02:22:13,Andy Capp's fries,7,13.44,20
45311,2020-12-16 03:09:45,Secret Recipe,9,97.02,14
65029,2021-08-17 11:14:02,KFC,1,54.11,7
52967,2016-02-08 14:11:04,Sun-Pat,5,88.87,7
15330,2016-05-05 22:19:06,Tic Tac,5,81.60,22
94170,2017-06-26 00:39:40,Cobblestone,1,86.33,9
59965,2017-01-11 22:13:10,Burger King,2,97.07,5
78108,2016-06-15 02:46:19,M&M Food Market,9,17.12,5
44154,2017-08-09 21:20:16,Subway,1,95.50,22
52698,2019-12-11 12:34:38,Vitta Foods,1,76.14,20
67303,2019-03-09 16:26:58,Tic Tac,2,23.34,3
35735,2021-07-24 16:10:50,Cobblestone,3,64.93,26
43446,2017-06-13 10:18:37,Nesquik,5,51.14,10
52661,2017-03-19 00:26:29,Starbucks,5,47.34,12
12440,2020-08-04 13:23:24,LEonidas,9,38.73,9
72225,2018-07-08 18:14:14,Burger King,1,42.82,25
34126,2019-11-14 01:58:34,Baskin robbins,9,29.67,27
78256,2020-08-19 06:30:46,Dunkin' Donuts,6,7.89,2
18299,2016-12-02 17:48:37,Carib Brewery,4,76.19,2
82343,2016-10-04 14:27:04,Domino,7,61.81,8
64782,2019-11-24 15:46:31,KFC,2,31.45,17
78849,2016-02-07 11:45:41,Olymel,8,26.35,14
76329,2017-01-27 01:35:07,Dunkin' Donuts,2,82.43,10
95326,2016-03-04 05:37:23,Papadopoulos,5,98.27,20
95919,2016-07-03 06:35:16,Heinz,6,86.75,26
57901,2018-08-23 05:19:30,Domino,6,10.64,25
79602,2017-11-17 19:07:38,Betty Crocker,8,89.36,6
72117,2021-04-28 22:39:31,Andy Capp's fries,8,49.31,10
5007,2017-08-19 01:31:44,McDonald's,8,89.11,27
93657,2018-03-17 07:23:53,Dunkin' Donuts,3,19.94,15
3226,2020-04-06 11:33:11,Andy Capp's fries,5,58.80,24
58549,2016-07-30 17:18:50,Papadopoulos,3,34.36,4
97348,2021-03-25 17:25:15,Lavazza,6,58.75,25
45714,2020-03-06 12:47:18,Cobblestone,8,50.34,3
3679,2017-03-16 01:16:21,Knorr,6,3.54,11
39012,2021-04-17 18:47:32,Baskin robbins,9,8.30,24
12218,2021-05-11 18:54:22,Tic Tac,6,96.00,15
73705,2020-07-01 22:17:06,Betty Crocker,8,49.06,12
73709,2019-03-14 00:22:29,Taco Bell,9,73.23,5
37766,2020-04-05 04:29:57,Nesquik,4,17.89,14
27976,2019-10-23 00:01:38,Sun-Pat,9,52.68,22
34640,2018-09-19 22:52:06,LEonidas,8,45.41,24
97272,2020-12-19 16:49:09,Wendy's,6,48.31,28
39073,2019-10-07 13:34:08,Carib Brewery,5,2.71,25
64805,2018-04-14 00:27:48,Nutella,7,31.39,12
24882,2021-07-21 16:04:30,Burger King,9,18.85,18
6080,2018-07-23 04:41:23,Doritos,8,42.73,1
4949,2021-02-23 16:32:10,M&M Food Market,8,27.00,7
29283,2017-08-03 01:54:44,Domino,9,52.06,21
17656,2018-03-04 03:04:48,Red Lobster,2,34.05,4
4877,2017-11-22 12:22:20,Pizza Hut,2,20.89,26
62916,2019-11-22 03:36:20,Heinz,4,28.93,27
80577,2018-02-20 07:01:50,Andy Capp's fries,7,64.71,28
40056,2018-10-14 04:52:12,Vitta Foods,7,71.56,11
23921,2020-03-04 14:08:05,McDonald's,2,54.72,2
86318,2021-06-17 08:06:19,Andy Capp's fries,9,55.52,20
65394,2019-05-19 10:54:31,Dr. Oetker,5,27.40,11
8760,2019-10-26 16:33:42,Nesquik,7,20.92,10
46176,2017-02-01 21:39:06,Cheetos,1,11.56,15
98329,2016-12-18 04:52:43,Andy Capp's fries,3,69.60,27
6678,2021-08-22 02:20:57,Red Lobster,3,83.37,7
93159,2020-08-31 13:11:13,Cheetos,6,80.81,2
8387,2018-01-31 16:51:23,Nutella,5,81.82,2
86918,2016-05-01 13:58:16,McDonald's,1,58.70,25
25334,2017-06-25 16:20:35,Olymel,6,98.65,8
1169,2018-07-09 20:32:50,Doritos,3,26.93,2
74737,2018-06-16 22:18:21,Tic Tac,2,61.90,21
41877,2016-07-05 02:54:48,Magnum,6,36.27,6
36578,2018-11-18 03:33:03,Domino,2,5.13,17
25263,2020-09-25 14:38:08,Knorr,3,41.98,21
98793,2021-08-04 01:55:50,Nutella,3,94.72,2
7954,2021-05-04 22:42:40,Bel Group,3,44.25,26
69302,2017-01-09 10:19:28,Sun-Pat,5,45.77,28
57546,2017-05-23 08:32:13,Wonder Bread,4,22.70,5
12196,2017-05-31 06:05:29,Lavazza,8,90.95,25
56707,2020-11-05 03:04:02,Magnum,5,74.45,7
46817,2021-03-27 03:44:27,Knorr,5,43.50,8
84660,2016-05-03 16:06:47,Domino,8,38.82,4
78851,2019-03-24 11:52:24,Bewley's,1,31.51,12
94194,2019-12-17 17:27:40,Nabisco,1,55.62,19
80978,2018-05-25 09:40:02,McDonald's,1,4.26,17
94101,2016-07-31 21:19:26,Nutella,4,28.32,21
74339,2017-05-24 20:05:19,Olymel,3,26.42,17
38314,2017-11-29 17:09:19,Pizza Hut,2,80.84,26
65443,2016-05-21 00:55:27,Knorr,7,44.01,22
82516,2020-09-21 05:54:54,LEonidas,5,31.34,25
20823,2021-01-19 13:41:12,Sun-Pat,4,76.98,3
77522,2019-08-06 09:24:03,Andy Capp's fries,2,96.62,14
42836,2021-03-07 05:39:44,LEonidas,1,82.21,22
87812,2020-12-19 10:57:42,Heinz,5,34.72,24
48988,2021-11-06 10:55:58,Red Lobster,4,81.84,8
37197,2019-03-11 15:50:26,Cobblestone,6,93.93,18
52309,2019-03-04 12:13:11,KFC,2,46.68,8
21773,2021-02-26 05:46:00,Burger King,4,29.66,15
21593,2017-09-01 22:57:23,Cobblestone,2,60.52,12
17658,2019-02-16 08:05:19,KFC,5,21.74,2
6598,2021-06-07 02:34:02,McDonald's,3,89.83,1
88458,2018-01-25 06:24:24,Nabisco,6,58.84,25
76910,2019-04-30 21:17:05,Andy Capp's fries,5,15.44,2
98440,2017-06-05 12:35:28,Subway,2,39.91,26
4218,2017-08-10 17:30:30,Magnum,3,98.67,3
38485,2021-03-07 08:52:17,McDonald's,9,82.48,11
2177,2017-01-03 10:46:01,Dunkin' Donuts,8,66.92,4
8702,2017-02-16 14:55:48,McDonald's,8,41.78,8
42412,2018-12-18 10:20:40,Nesquik,8,64.31,28
29728,2017-12-19 20:32:52,Tic Tac,8,96.48,25
99554,2019-08-01 01:32:01,Olymel,3,41.06,23
68579,2019-07-12 00:12:55,McDonald's,7,11.09,26
75705,2017-02-15 07:55:49,Bewley's,3,11.05,27
67279,2020-12-23 20:54:16,Magnum,5,90.32,14
88378,2018-11-06 12:30:17,Doritos,3,68.60,11
15330,2020-04-26 19:33:06,Magnum,3,12.70,8
88836,2016-10-11 07:06:07,Knorr,7,13.91,4
6868,2020-10-21 17:35:02,Subway,6,82.63,5
45363,2019-08-30 11:40:48,KFC,9,35.80,14
55093,2018-01-20 04:03:35,Bewley's,2,47.38,13
1957,2017-01-31 17:28:18,Cobblestone,9,27.52,24
18757,2018-08-17 10:33:48,Bel Group,6,66.28,6
86874,2018-01-02 06:26:34,Soprole,6,70.99,9
14357,2016-12-22 09:10:08,Bel Group,8,2.36,14
97165,2020-03-15 18:57:17,Nesquik,8,64.22,10
11088,2018-11-07 04:11:35,Andy Capp's fries,8,32.88,17
71896,2017-07-27 06:14:41,Wendy's,1,29.41,16
41289,2019-10-20 06:47:12,Dr. Oetker,5,34.13,14
82635,2021-10-16 10:38:10,Dunkin' Donuts,9,24.58,14
39165,2019-03-28 02:45:45,Doritos,5,58.25,9
10028,2019-08-08 04:39:54,Domino,2,38.97,13
15475,2019-03-22 03:23:45,Bewley's,8,61.05,2
3412,2020-08-06 15:56:10,Tic Tac,5,52.02,15
71251,2021-08-19 01:50:23,Red Lobster,7,79.72,21
46034,2019-08-15 05:08:18,Knorr,4,71.98,1
91006,2020-12-25 11:12:15,Secret Recipe,9,27.49,3
93454,2020-01-13 08:27:42,Olymel,5,32.00,16
97301,2016-01-06 20:19:35,Wonder Bread,5,54.62,10
48777,2020-10-19 12:58:35,Tic Tac,4,85.59,3
30460,2018-12-23 06:38:46,Betty Crocker,3,78.41,4
37189,2016-05-18 16:25:03,Nutella,9,20.61,24
79076,2018-03-27 14:09:34,Baskin robbins,2,37.86,25
75881,2019-08-28 16:54:15,Cheetos,7,23.53,24
15865,2020-05-19 02:29:57,Burger King,1,11.92,20
90104,2017-07-01 05:44:17,Nutella,8,14.06,19
62197,2021-05-07 21:33:21,Bewley's,4,77.15,17
20811,2020-05-28 14:46:41,Kinder,3,14.19,5
2468,2016-04-24 09:09:56,McDonald's,4,97.63,10
59795,2019-05-28 03:51:12,Bel Group,8,56.12,7
8065,2017-12-18 21:20:29,Dr. Oetker,6,46.04,7
66318,2020-06-14 21:52:38,LEonidas,5,75.59,25
37581,2018-03-22 03:47:58,Sun-Pat,6,78.58,13
23252,2020-02-27 22:57:05,Andy Capp's fries,1,10.66,23
89619,2021-06-28 21:23:40,Knorr,6,27.20,18
76872,2016-06-08 22:15:50,Doritos,2,14.33,25
56974,2020-11-28 19:34:01,Vitta Foods,7,96.78,28
45966,2018-04-30 01:46:57,Domino,5,75.12,5
98465,2017-12-07 12:55:40,Dr. Oetker,7,72.11,12
49407,2021-10-22 17:47:14,Kits,1,34.36,21
8560,2020-01-06 10:14:11,Pizza Hut,9,18.28,12
25282,2018-08-26 00:10:52,Nabisco,3,92.89,25
21896,2016-04-01 19:22:28,Cheetos,6,28.54,26
38267,2016-09-10 08:23:04,Secret Recipe,8,33.75,9
16157,2019-06-10 09:41:09,Kinder,9,56.90,1
80043,2016-11-11 09:29:30,Kinder,8,9.75,21
72543,2020-04-11 14:22:02,Baskin robbins,1,61.09,17
38545,2021-07-28 03:34:42,Sun-Pat,6,14.22,13
49674,2016-07-16 08:32:06,Nabisco,7,87.87,2
47098,2020-08-11 13:02:34,Burger King,9,6.67,1
96495,2018-03-23 10:19:36,Tic Tac,9,84.78,25
42630,2020-03-17 19:18:13,Sun-Pat,4,8.26,23
44443,2017-03-26 16:03:06,M&M Food Market,4,13.99,9
66262,2019-05-14 10:11:28,Nesquik,6,4.92,8
25269,2021-01-10 01:58:36,Bewley's,9,26.81,27
7562,2021-05-14 17:51:34,Bewley's,6,40.21,1
48613,2021-02-18 19:29:13,Knorr,3,65.83,4
99418,2017-12-27 03:01:32,M&M Food Market,2,74.42,11
67127,2016-09-20 06:02:12,Bewley's,8,58.60,21
47002,2017-06-02 18:53:45,Pizza Hut,1,58.75,22
49835,2017-08-31 09:42:57,Soprole,7,75.30,1
62961,2021-05-31 22:50:21,Lavazza,6,80.27,14
6137,2020-01-12 00:06:37,Bewley's,5,25.24,6
58454,2019-04-14 22:38:51,Pizza Hut,7,59.06,14
98166,2016-04-19 06:35:05,Taco Bell,3,95.53,12
80735,2017-03-14 06:16:42,Magnum,3,31.06,6
21204,2019-02-27 11:07:24,Kits,9,32.98,28
65809,2021-11-04 16:46:29,Wendy's,4,45.01,3
48431,2019-05-17 15:49:22,Pizza Hut,3,70.92,2
15589,2018-05-13 11:50:16,Domino,5,15.17,1
61378,2021-09-17 22:33:44,Magnum,5,50.77,21
40129,2020-09-21 06:57:43,Sun-Pat,8,67.75,2
80773,2017-06-13 08:54:48,Bel Group,5,88.50,2
45611,2017-09-03 05:58:28,Papadopoulos,6,13.06,16
91126,2020-07-17 20:12:39,Lavazza,2,54.11,19
60860,2021-03-24 08:07:12,Lavazza,6,6.74,15
34892,2019-06-22 22:43:16,Nesquik,5,31.48,7
4232,2020-04-15 13:11:08,Kinder,4,18.26,14
15065,2021-07-20 17:50:26,LEonidas,9,14.76,4
92378,2019-04-24 08:33:12,Cobblestone,8,19.93,16
81197,2020-10-29 00:53:36,Starbucks,3,19.99,6
3895,2018-07-10 17:16:21,Wonder Bread,8,14.28,20
21538,2018-06-08 12:22:17,Cheetos,4,4.97,23
26310,2016-12-14 05:42:39,Cobblestone,9,85.23,16
28160,2020-04-09 02:34:05,McDonald's,8,10.20,23
49865,2019-11-09 20:13:20,Wonder Bread,3,67.59,5
52470,2017-08-08 04:10:54,Tic Tac,2,7.60,2
51249,2021-10-04 20:42:25,Cheetos,3,93.28,23
68993,2017-08-07 18:09:18,M&M Food Market,3,98.36,8
4460,2017-05-07 05:05:02,Wendy's,5,94.65,7
30030,2020-04-22 10:10:18,Papadopoulos,7,17.80,25
12410,2018-02-02 08:47:27,Bel Group,5,5.86,10
59501,2017-04-10 15:20:00,Subway,7,80.67,12
96539,2018-01-04 06:03:29,Vitta Foods,8,64.85,23
84364,2016-09-12 04:30:08,Andy Capp's fries,8,45.62,23
55050,2018-11-08 01:19:37,Carib Brewery,1,14.16,1
79963,2021-09-09 11:22:52,Betty Crocker,1,33.29,15
46084,2020-10-25 04:03:28,Cheetos,1,18.19,9
44038,2017-08-13 03:52:51,Cheetos,3,94.42,13
91277,2019-12-06 10:49:00,Starbucks,6,80.61,11
60816,2019-02-09 03:07:20,Soprole,3,2.85,5
5395,2021-03-18 21:50:34,Papadopoulos,8,60.49,12
51643,2016-10-25 20:51:34,Heinz,4,35.06,17
83579,2017-05-11 12:48:42,Nutella,2,5.53,5
18447,2017-07-05 01:16:22,Kinder,7,63.23,14
9325,2016-04-01 07:12:50,Cheetos,6,30.53,16
39615,2021-09-12 21:14:19,Magnum,4,13.12,20
41039,2020-06-28 01:20:13,Bel Group,1,61.47,16
6953,2020-03-27 02:34:30,Heinz,9,33.95,7
27658,2020-11-29 11:58:44,Red Lobster,3,83.94,16
69286,2019-08-27 11:33:04,Cobblestone,9,95.97,18
41788,2016-03-04 18:57:28,Andy Capp's fries,8,36.73,15
89209,2016-02-03 03:52:24,LEonidas,3,7.58,1
94395,2017-04-28 15:53:51,Domino,3,54.51,6
80563,2021-09-16 07:20:49,Nabisco,1,52.49,3
35531,2021-09-04 02:24:40,Andy Capp's fries,5,61.14,14
6908,2021-06-25 08:56:39,Olymel,4,90.10,2
45445,2017-12-02 19:31:42,Nutella,7,81.03,5
55686,2020-06-12 12:29:39,Applebee's,2,25.22,6
98159,2019-08-21 09:01:07,Tic Tac,6,39.67,19
87064,2016-09-14 09:26:37,Wendy's,2,56.68,22
1317,2019-11-12 12:57:55,Secret Recipe,4,87.28,20
6834,2016-10-12 15:54:03,Knorr,9,82.40,24
33619,2017-09-10 02:23:17,Burger King,4,12.85,19
86201,2019-05-30 12:27:11,Cobblestone,1,42.06,24
51236,2020-04-22 02:00:34,Bewley's,5,49.38,23
9927,2017-10-16 03:49:25,Soprole,5,18.66,15
95566,2017-07-30 00:37:48,Cheetos,6,21.72,21
78522,2019-01-21 17:34:20,M&M Food Market,2,13.79,16
98778,2021-02-24 16:03:32,Taco Bell,4,71.04,14
79891,2021-03-17 17:32:51,Nabisco,7,46.17,4
15966,2017-06-12 17:38:01,LEonidas,5,57.49,24
53315,2018-06-10 08:06:31,Carib Brewery,5,94.07,8
5973,2021-03-16 03:14:55,Starbucks,7,20.70,3
87666,2020-04-25 21:41:24,Bewley's,2,7.03,28
1429,2021-02-22 04:13:55,Pizza Hut,5,64.02,23
68855,2020-08-21 08:54:03,Subway,1,51.70,4
80385,2018-02-15 19:23:55,Heinz,5,67.68,22
96900,2018-12-06 20:05:15,Olymel,7,93.30,16
39289,2016-10-07 03:54:24,Carib Brewery,4,3.63,5
65463,2019-08-15 08:54:10,Dunkin' Donuts,1,81.27,5
90654,2020-12-30 21:14:48,Olymel,8,29.65,25
60326,2016-12-18 04:09:43,Andy Capp's fries,2,92.96,25
45261,2018-10-04 00:32:07,Lavazza,2,97.90,18
16931,2021-01-22 15:09:38,Taco Bell,2,91.10,7
21382,2016-05-27 08:44:32,McDonald's,4,20.18,15
45385,2016-07-20 19:24:41,Domino,8,41.10,13
5247,2021-05-14 08:02:42,Bewley's,5,5.49,6
49904,2017-08-27 18:44:38,Pizza Hut,2,28.99,19
94295,2021-08-20 18:23:09,Kits,1,25.45,6
73230,2020-07-21 18:38:10,Secret Recipe,7,31.03,23
97905,2018-03-18 15:00:01,Dr. Oetker,3,11.76,10
32753,2019-03-08 09:27:30,Carib Brewery,2,97.88,19
73117,2017-08-12 13:17:27,Soprole,5,19.55,10
68482,2020-11-07 05:11:39,LEonidas,3,78.37,28
79604,2021-06-12 10:07:52,Olymel,4,34.12,3
18473,2020-04-17 09:23:04,Doritos,8,41.53,9
69316,2016-08-04 12:24:37,McDonald's,3,22.80,27
82874,2017-12-29 13:52:50,Magnum,8,45.39,8
36862,2016-11-15 01:27:10,Vitta Foods,4,84.11,27
77986,2021-02-07 05:05:18,Doritos,4,7.49,11
88621,2016-11-20 12:10:15,Knorr,2,53.53,8
90478,2018-01-11 22:16:54,Taco Bell,1,8.22,20
10136,2018-10-05 02:49:10,Vitta Foods,1,50.57,5
42462,2020-05-22 21:00:22,Red Lobster,6,87.19,10
81886,2021-03-24 06:50:03,Burger King,8,97.15,22
64465,2017-11-26 18:47:17,Burger King,1,67.99,9
74855,2019-10-13 21:22:49,Dr. Oetker,4,99.88,21
91882,2017-01-27 19:52:51,Red Lobster,2,24.78,21
10905,2016-09-20 07:48:30,Carib Brewery,9,15.70,28
15743,2021-08-07 19:52:34,Olymel,9,92.00,26
5323,2021-02-28 01:25:49,Domino,5,93.93,3
26069,2020-12-05 20:15:12,Sun-Pat,3,14.85,22
25210,2017-06-21 06:54:33,Vitta Foods,3,97.29,20
27301,2017-05-30 05:52:40,Nabisco,1,90.96,2
64737,2021-11-03 04:36:42,Secret Recipe,1,61.68,28
87983,2020-11-02 01:15:38,Heinz,6,17.86,25
15417,2018-10-25 14:14:48,Wendy's,6,98.56,28
58985,2018-05-05 03:46:06,Bel Group,1,66.20,8
91074,2020-03-14 06:19:47,Domino,2,95.24,26
63948,2021-03-10 00:05:54,Dr. Oetker,4,94.78,20
70356,2016-06-07 00:41:22,Cheetos,6,29.14,11
74830,2021-06-30 21:36:56,Burger King,2,30.43,11
84871,2019-11-18 17:39:20,Soprole,4,7.87,27
89546,2016-08-08 19:30:32,Knorr,7,58.94,10
78437,2021-04-08 18:50:09,Doritos,9,43.12,14
98050,2016-06-09 11:24:50,Kinder,4,37.36,19
12990,2019-08-05 09:12:29,Dunkin' Donuts,1,45.05,4
